TP,TN,FP,FN,Accuracy,Precision,Recall,F1,Num_Samples,Frac_NonAmbiguous,UniverseID,Model,FeatureSet,Subgroup
22.0,67416.0,166.0,7417.0,0.8989216352754562,0.11702127659574468,0.002957386745530313,0.005768978628556444,75021.0,0.8624788751825069,rf_without_protected,rf,without_protected,overall
9.0,28018.0,64.0,3195.0,0.8958320015342326,0.1232876712328767,0.0028089887640449437,0.00549282880683552,31286.0,0.843402075751449,rf_without_protected,rf,without_protected,frau1
15.0,14381.0,148.0,1526.0,0.8958307405102676,0.09202453987730061,0.00973393900064893,0.017605633802816902,16070.0,0.9021501150844888,rf_without_protected,rf,without_protected,nongerman
8.0,9407.0,92.0,791.0,0.9142551951835308,0.08,0.010012515644555695,0.017797552836484983,10298.0,0.9274970728631902,rf_without_protected,rf,without_protected,nongerman_male
7.0,4974.0,56.0,735.0,0.862959112959113,0.1111111111111111,0.009433962264150943,0.017391304347826087,5772.0,0.8602086438152012,rf_without_protected,rf,without_protected,nongerman_female
336.0,68137.0,438.0,7345.0,0.8979359001258918,0.43410852713178294,0.043744304127066785,0.0794795978710822,76256.0,0.8766770518377154,penalized_logreg_without_protected,penalized_logreg,without_protected,overall
130.0,28226.0,204.0,3120.0,0.8950757575757575,0.38922155688622756,0.04,0.07254464285714286,31680.0,0.8540234532955924,penalized_logreg_without_protected,penalized_logreg,without_protected,frau1
29.0,14956.0,30.0,1544.0,0.9049459508424422,0.4915254237288136,0.018436109345200253,0.03553921568627451,16559.0,0.9296019760848818,penalized_logreg_without_protected,penalized_logreg,without_protected,nongerman
14.0,9775.0,10.0,802.0,0.9234034525044807,0.5833333333333334,0.01715686274509804,0.03333333333333333,10601.0,0.9547869945059894,penalized_logreg_without_protected,penalized_logreg,without_protected,nongerman_male
15.0,5181.0,20.0,742.0,0.8721047331319235,0.42857142857142855,0.019815059445178335,0.03787878787878788,5958.0,0.8879284649776453,penalized_logreg_without_protected,penalized_logreg,without_protected,nongerman_female
340.0,68059.0,439.0,7307.0,0.8982730317158054,0.43645699614890887,0.04446188047600366,0.08070258723000237,76145.0,0.875400940413644,penalized_logreg_with_protected,penalized_logreg,with_protected,overall
115.0,28442.0,171.0,3187.0,0.894783017389942,0.4020979020979021,0.034827377347062385,0.0641025641025641,31915.0,0.8603585388866424,penalized_logreg_with_protected,penalized_logreg,with_protected,frau1
36.0,14880.0,34.0,1515.0,0.9059216519890677,0.5142857142857142,0.02321083172147002,0.04441702652683529,16465.0,0.9243249312300006,penalized_logreg_with_protected,penalized_logreg,with_protected,nongerman
22.0,9690.0,15.0,773.0,0.924952380952381,0.5945945945945946,0.027672955974842768,0.052884615384615384,10500.0,0.9456903539583896,penalized_logreg_with_protected,penalized_logreg,with_protected,nongerman_male
14.0,5190.0,19.0,742.0,0.8724224643755238,0.42424242424242425,0.018518518518518517,0.035487959442332066,5965.0,0.8889716840536512,penalized_logreg_with_protected,penalized_logreg,with_protected,nongerman_female
